경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-28 02:10:55,서울가락,서울청과㈜,과일과채류,방울토마토,방울토마토,,5kg 상자,4,20000
2020-02-28 02:10:55,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,2,7000
2020-02-28 02:10:54,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,41,13000
2020-02-28 02:10:52,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,21,10000
2020-02-28 02:10:52,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,14,18000
2020-02-28 02:10:51,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,5,17000
2020-02-28 02:10:50,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,26,18000
2020-02-28 02:10:50,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 부여군,3kg 상자,39,19000
2020-02-28 02:10:48,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,32,20000
2020-02-28 02:10:48,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,15,20000
2020-02-28 02:10:48,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,10,10000
2020-02-28 02:10:47,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,2,15000
2020-02-28 02:10:47,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,33,20000
2020-02-28 02:10:46,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 부여군,3kg 상자,17,18000
2020-02-28 02:10:46,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,21,15000
2020-02-28 02:10:44,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,9,18000
2020-02-28 02:10:44,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,46,21000
2020-02-28 02:10:42,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,46,20500
2020-02-28 02:10:41,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,15,11000
2020-02-28 02:10:41,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,30,18000
2020-02-28 02:10:39,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,27,18000
2020-02-28 02:10:38,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청북도 진천군,3kg 상자,5,16000
2020-02-28 02:10:37,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,34,10000
2020-02-28 02:10:37,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,2,16000
2020-02-28 02:10:35,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,30,18000
2020-02-28 02:10:35,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청북도 진천군,3kg 상자,36,17000
2020-02-28 02:10:34,서울가락,한국청과㈜,과일과채류,토마토,완숙토마토,부산광역시,2.5kg 상자,1,4500
2020-02-28 02:10:34,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,8,18000
2020-02-28 02:10:33,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,35,18000
2020-02-28 02:10:32,서울가락,서울청과㈜,과일과채류,토마토,토마토(일반),,5kg 상자,8,16000
2020-02-28 02:10:31,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,15,10000
2020-02-28 02:10:31,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,32,20000
